title,link,image_url,rating,reviews,address,opening_hours,latitude,longitude,kategori,aktivitas,deskripsi,kecamatan,biaya_masuk,biaya_parkir_motor,biaya_parkir_mobil
Air Terjun Tombak Pangaribuan,https://www.google.com/maps/place/Air+Terjun+Tombak+Pangaribuan/data=!4m7!3m6!1s0x3031dd9500623b81:0xd45d2aff2ad55a4a!8m2!3d2.5316117!4d98.8168167!16s%2Fg%2F11c5x4ym34!19sChIJgTtiAJXdMTARSlrVKv8qXdQ?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1YZZ0Hz3AVyxLOYHvD2ssvCwtsMmFu5aq?usp=drive_link,4.2,20,"Palipi, Samosir Regency, North Sumatra 22393",Open 24 hours,2.5317617570949356,98.8168274288357,Alam,"Aktivitas Air, Pemandangan, Hiking","Air Terjun Tombak Pangaribuan terletak di Pardoman Nauli, Batu Jagar, Kecamatan Palipi, Sumatera Utara, sekitar 40 kilometer dari Kota Pangururan. Dengan ketinggian 35 meter dan luas limpahan air sekitar 400 meter persegi, air terjun ini menawarkan pesona alam yang memukau. Dikenal sebagai tempat persemayaman Raja Lotung, air terjun ini memiliki nilai historis yang menarik. Jalur menuju air terjun melalui jalan berbatu dan medan yang mendaki memberikan tantangan tersendiri, menjadikannya destinasi menarik bagi para pecinta alam dan pendaki. Keindahan alam yang dihadirkan, terutama saat melihat air terjun dari kejauhan, menjadikan Air Terjun Tombak Pangaribuan sebagai salah satu objek wisata andalan yang patut dikunjungi.",Palipi,5000,2000,5000
Menara Pandang Simanindo,https://www.google.com/maps/place/Menara+Pandang+Simanindo/data=!4m7!3m6!1s0x3031bf54fc458df7:0x688a25165ccab970!8m2!3d2.7480401!4d98.7504048!16s%2Fg%2F11f57sk8jz!19sChIJ941F_FS_MTARcLnKXBYlimg?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1NxiNUig5YU70vAF-VtqgP4EcmvFUT-XP?usp=drive_link,4.5,23,"Simanindo Sangkal, Simanindo, Samosir Regency, North Sumatra",Open 08.00-16.00,2.7482651464363674,98.75038334232858,Alam,"Pemandangan, Fotografi, Santai","Menara Pandang Simanindo merupakan destinasi wisata alam yang terletak di Simanindo Sangkal, Kecamatan Simanindo, Kabupaten Samosir, Sumatera Utara. Dari menara dua lantai ini, pengunjung dapat menikmati panorama Danau Toba dari jarak yang lebih dekat dibandingkan Menara Pandang Tele. Didirikan di atas perbukitan kecil sejak tahun 2017, menara ini menyuguhkan empat sudut pandang yang berbeda, termasuk pemandangan kampung tradisional Simanindo dan pulau kecil yang hijau nan mempesona. Keindahan alam berpadu dengan suasana sejuk dan ornamen sederhana khas Batak. Tempat ini cocok untuk bersantai, berswafoto, serta menikmati pemandangan sambil duduk di kursi panjang yang tersedia di balkon. Tidak dikenakan tiket masuk, menjadikannya pilihan populer saat akhir pekan.",Simanindo,0,0,0
Bukit Simargulang Ombun,https://www.google.com/maps/place/Bukit+Simargulang+Ombun/data=!4m7!3m6!1s0x3031d949df305b7f:0xadf619ed85ddaacf!8m2!3d2.5062786!4d98.7387721!16s%2Fg%2F11f62rbtrw!19sChIJf1sw30nZMTARz6rdhe0Z9q0?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1G-Oqv2qrcMUvTlqsrcm-bkKs5Aokeo9z?usp=drive_link,4.6,11,"Tamba Dolok, Sitio-Tio, Samosir Regency, North Sumatra",Open 24 hours,2.5065144085854065,98.73873991349285,Alam,"Pemandangan, Fotografi, Camping","Bukit Simargalung Ombun adalah destinasi wisata alam tersembunyi yang terletak di Desa Tamba Dolok, Kecamatan Sitiotio, Kabupaten Samosir, Sumatera Utara. Dari puncaknya, pengunjung disuguhi panorama luar biasa: hamparan sawah hijau yang luas, desa Sitio-tio yang membentang, serta keindahan Danau Toba yang magis dari sudut yang jarang dijamah wisatawan. Tempat ini menawarkan suasana tenang dan alami, menjadikannya lokasi ideal untuk camping dan fotografi lanskap. Akses ke bukit ini bisa ditempuh dari Medan atau dari Menara Pandang Tele dengan kondisi jalan yang sudah ditingkatkan oleh masyarakat setempat. Keindahan alami dan ketenangan Bukit Simargalung Ombun menjadikannya surga tersembunyi yang layak dieksplorasi di luar rute wisata utama Samosir.",Sitio-Tio,0,0,0
Panatapan Batu Anduhur,https://www.google.com/maps/place/Panatapan+Batu+Anduhur/data=!4m7!3m6!1s0x3031cf13b78492b9:0x856868718e89b595!8m2!3d2.6236148!4d98.6255891!16s%2Fg%2F11lgwp5k__!19sChIJuZKEtxPPMTARlbWJjnFoaIU?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1BMF4eTXRLOp5e5JIBej7T3qNxdI6t9-o?usp=drive_link,4.7,56,"Huta Gurgur, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",Open 24 hours,2.6237862814243944,98.6255891,Alam,"Pemandangan, Fotografi","Penatapan Batu Anduhur di Huta Gurgur, Samosir, menawarkan pemandangan alam yang memukau dengan sawah yang terhampar luas dan pemandangan Danau Toba dari ketinggian. Pengunjung dapat menikmati suasana angin sejuk dan melihat Gunung Pusuk Buhit serta perbukitan sekitar. Meskipun akses menuju lokasi cukup menantang, keindahan alam di Batu Anduhur membuatnya layak dikunjungi.",Sianjur Mula Mula,0,5000,5000
Pantai Sipinggan,https://www.google.com/maps/place/Indah+Sipinggan+Beach/data=!4m7!3m6!1s0x3031e1df48158301:0xe20812865d8411e8!8m2!3d2.4319981!4d98.8975483!16s%2Fg%2F11fy4mj19w!19sChIJAYMVSN_hMTAR6BGEXYYSCOI?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1-_lnWxzzZuGwbPd8EpdCRY-eJluLBFPi?usp=drive_link,4.7,7,"Siantar Selatan, Kota Pematang Siantar, Sumatera Utara 22394",Open 08.00-16.00,2.4322446409394196,98.89756975767143,Bahari,"Aktivitas Air, Berenang, Pemandangan, Fotografi","Pantai Sipinggan atau Pantai Indah Sipinggan Nainggolan adalah destinasi menawan di bibir Danau Toba yang menawarkan panorama alam yang memukau dengan garis pantai yang panjang, pasir putih, dan ombak danau yang tenang. Lokasinya berada di Desa Sipinggan, Kecamatan Nainggolan, Pulau Samosir. Pantai ini juga pernah menjadi tuan rumah “Festival Tuak” yang mempromosikan kearifan lokal.",Nainggolan,10000,3000,5000
Pelabuhan Parapat,"https://www.google.com/maps/place/Pelabuhan+Parapat/@2.6684769,98.9361763,19z/data=!4m10!1m2!2m1!1sPelabuhan+wisata+danau+toba!3m6!1s0x3031eb8f596fe311:0x5f40ed294a51e30b!8m2!3d2.6685385!4d98.9369917!15sChtQZWxhYnVoYW4gd2lzYXRhIGRhbmF1IHRvYmFaHSIbcGVsYWJ1aGFuIHdpc2F0YSBkYW5hdSB0b2JhkgEGbWFyaW5hmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVI0T1hGbVJHVkJFQUWqAUQQATIfEAEiGwITvKwNdkpLBXLV9Ke1zQ9sL3XljYfvclBSUjIfEAIiG3BlbGFidWhhbiB3aXNhdGEgZGFuYXUgdG9iYeABAPoBBAgAEEA!16s%2Fg%2F11cjj04j6x?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D",https://drive.google.com/drive/folders/17f4L62A1RXMMYGQAVL6WjPYCC3uh8_yh?usp=drive_link,4.2,103,"Sumatra, Tiga Raja, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",Open 08.00-19.00,2.6685639533519576,98.93699170077517,Bahari,"Aktivitas Air, Perahu, Transportasi","Pelabuhan Parapat adalah pintu gerbang utama ke Pulau Samosir dan kawasan Danau Toba. Pelabuhan ini merupakan tempat bersandarnya kapal feri dan kapal wisata yang akan mengantar wisatawan ke pulau tersebut. Selain sebagai tempat transportasi, pelabuhan ini juga menawarkan pemandangan Danau Toba yang indah dan berbagai aktivitas wisata air. ",Girsang Sipangan Bolon,0,0,0
Danau Pea Porohan,https://www.google.com/maps/place/PEA+POROHAN+%28WISATA+ALAM%29/data=!4m7!3m6!1s0x3031c5900904bb3d:0x304eee46818a008d!8m2!3d2.6243546!4d98.7341014!16s%2Fg%2F11rc90hvwm!19sChIJPbsECZDFMTARjQCKgUbuTjA?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1Jtf5ERgkN5hfEcDPrX3Xgse48SSrtL76?usp=drive_link,4.8,4,"Salaon Toba, Ronggur Nihuta, Samosir Regency, North Sumatra 22392",Open 24 hours,2.624472493412043,98.7340155693143,Alam,"Pemandangan, Fotografi, Trekking, Memancing, Camping, Santai","Pea Porohan adalah sebuah danau yang terletak di Desa Salaon Toba, Kec. Ronggur Nihuta, Kab. Samosir, Sumatera Utara. Danau ini dikenal dengan julukan ""danau di atas danau"" karena posisinya yang berada di ketinggian, dikelilingi oleh pepohonan hijau yang menciptakan pemandangan alam yang memukau. Pea Porohan menawarkan pengalaman yang tenang dan damai, cocok untuk berfoto, piknik, atau trekking menikmati udara segar. Sejarah dan budaya lokal yang kental juga menambah daya tarik, dengan cerita tentang sumur sakral yang dipercaya dapat menyembuhkan penyakit. Fasilitas yang tersedia termasuk home stay, sepeda air, dan tempat untuk memancing. Wisatawan juga dapat berkemah di sekitar danau dan menikmati aktivitas alam lainnya.",Ronggur Nihuta,0,5000,20000
Pantai Said Dolok Parapat,https://www.google.com/maps/place/Pantai+pasir+putih+said+dolok/data=!4m7!3m6!1s0x3031eda50f73766f:0x3bdeda721ffe8650!8m2!3d2.6809914!4d98.9242616!16s%2Fg%2F11p02mnxvt!19sChIJb3ZzD6XtMTARUIb-H3La3js?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1RKtEsAarHyXTqpsydLvnzS_a0T7N8MY5?usp=drive_link,4.6,18,"Jl. Siborongborong - Parapat, Sibaganding, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",Open 24 hours,2.6809967525904495,98.9242508757634,Bahari,"Aktivitas Air, Berenang, Camping, Santai","Pantai Said Dolok adalah pantai berpasir putih yang terletak di Jalan Siborong Borong - Parapat, Sibaganding, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara. Pantai ini memiliki pasir putih yang landai dengan keindahan alam yang masih alami dan bersih, menciptakan suasana yang tenang dan menenangkan bagi para pengunjung.",Girsang Sipangan Bolon,0,1000,2000
Pantai Pakkodian,https://www.google.com/maps/place/Pakkodian/data=!4m7!3m6!1s0x302e04b328f0563f:0x290b460f48d5dd52!8m2!3d2.3396203!4d99.0134629!16s%2Fg%2F11c3k4_chx!19sChIJP1bwKLMELjARUt3VSA9GCyk?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1bSaBWRsWogzRDGbcnK5oWTOiBwtimBeJ?usp=drive_link,4.5,579,"Danau Toba, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312",Open 24 hours,2.339834697830541,99.01344144232856,Bahari,"Aktivitas Air, Pemandangan, Berenang, Camping, Fotografi, Santai","Pantai Pakkodian terletak di pinggiran Danau Toba, tepatnya di Desa Tarabunga, Kecamatan Tampahan, Kabupaten Toba, Sumatera Utara. Pantai ini terkenal dengan pasir putihnya yang lembut dan air danau yang jernih, menciptakan pemandangan yang memukau, terutama saat matahari terbenam di balik perbukitan. Di sini, pengunjung dapat menikmati berbagai aktivitas seperti camping berenang, menyewa perahu untuk menjelajahi danau, atau memancing. Pantai Pakkodian juga menjadi tempat yang ideal untuk bersantai, berjemur, atau sekadar menikmati kedamaian alam yang tenang. Selain keindahan alamnya, pengunjung dapat berinteraksi dengan masyarakat lokal Batak yang ramah, serta menikmati pertunjukan tari dan musik tradisional yang memperkaya pengalaman wisata. Dengan fasilitas seperti penginapan, restoran, dan toko suvenir, Pantai Pakkodian menjadi destinasi yang mudah diakses dan cocok untuk liburan bersama keluarga atau teman.",Tampahan,0,5000,10000
Bukit Cinta Silahisabungan,https://www.google.com/maps/place/Bukit+cinta/data=!4m7!3m6!1s0x3031b521bc259afb:0x30ff76880076acf7!8m2!3d2.7620477!4d98.5336525!16s%2Fg%2F11sszn831r!19sChIJ-5olvCG1MTAR96x2AIh2_zA?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1YK-b9iA25wjyKDDgcdAHSM1SBeuXriol?usp=drive_link,4.2,75,"Silalahi I, Silahisabungan, Dairi Regency, North Sumatra",Open 08.00-16.00,2.762229878308398,98.53352375397145,Alam,"Pemandangan, Fotografi, Camping, Trekking","Bukit Cinta Silalahi, yang terletak di Desa Silalahi, Kabupaten Dairi, Sumatera Utara, menawarkan pemandangan alam yang memukau, dengan latar belakang Danau Toba yang luas dan dikelilingi perbukitan hijau. Tempat ini dikenal dengan atmosfer romantisnya, menjadikannya destinasi ideal untuk pasangan yang ingin menghabiskan waktu bersama. Bukit ini juga populer di kalangan para fotografer berkat spot-spot menarik untuk mengabadikan keindahan alam, terutama saat matahari terbit atau terbenam. Akses ke bukit ini cukup mudah, meski jalan yang menantang membutuhkan perjalanan sekitar 4-5 jam dari Medan. Di puncaknya, pengunjung bisa menikmati pemandangan indah sambil duduk santai di gazebo atau berkemah di area yang tersedia. Bukit Cinta Silalahi adalah tempat yang menawarkan ketenangan, keindahan alam, dan pengalaman berharga di Sumatera Utara.",Silahisabungan,0,0,0
La repa beach,https://www.google.com/maps/place/La+repa+beach/data=!4m7!3m6!1s0x3031eb2941f92749:0x7c28888217057ef6!8m2!3d2.7182254!4d98.8893516!16s%2Fg%2F11lgv5cwnp!19sChIJSSf5QSnrMTAR9n4FF4KIKHw?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1vrpF3rEb9M6tySz1sDntyuebSPmTHzTk?usp=drive_link,4,8,"Sipolha Horison, Pematang Sidamanik, Simalungun Regency, North Sumatra 21186",Open 24 hours,2.718252191910184,98.8893516,Alam,"Fotografi, Gua","Pantai La Repa, yang terletak di Nagori Sipolha, Kecamatan Pematang Sidamanik, Simalungun, menawarkan pengalaman wisata yang unik dan memikat. Salah satu daya tarik utama dari pantai ini adalah Gua Singirngir yang tersembunyi di sekitarnya, yang dikenal juga dengan nama Gua Mimpi. Gua ini ditemukan pada tahun 1998 dan dikenal karena keindahan stalaktit dan stalagmit yang menghiasi dindingnya. Perjalanan menuju gua ini memacu adrenalin, dengan medan yang menantang dan gelapnya suasana di dalam gua. Bagi para pecinta alam, menjelajahi gua ini adalah pengalaman yang tak terlupakan, apalagi dengan bantuan lampu kepala untuk menerangi kegelapan di dalamnya. Selain gua, pengunjung juga dapat menikmati panorama alam yang menakjubkan, bersantai di pantai berpasir putih sepanjang 250 meter, atau menikmati angin sepoi-sepoi sambil menikmati gemuruh ombak yang tenang. Pantai La Repa dengan keindahan alamnya yang eksotis ini memberikan kesempatan untuk menggabungkan petualangan dengan ketenangan.",Pematang Sidamanik,0,0,0
Loho Beach And Camping Ground,https://www.google.com/maps/place/Loho+beach+%26+camping+ground/data=!4m7!3m6!1s0x3031c716dcd619f5:0x5c6070d935b51b9d!8m2!3d2.7116063!4d98.6910286!16s%2Fg%2F11y2d1k2cq!19sChIJ9RnW3BbHMTARnRu1NdlwYFw?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1jbzqTkc9FOmoo-M6DtTeWxV7WarztlIK?usp=drive_link,5,58,"Jl. Raya Simanindo, Parbaba, Toba, Kabupaten Samosir, Sumatera Utara 22390",Open 24 hours,2.711874220542946,98.69093204047859,Bahari,"Camping, Santai, Aktivitas Air, Berenang, Santai","Loho Beach & Camping Ground, terletak di Jl. Raya Simanindo, Parbaba, Toba, Kabupaten Samosir, Sumatera Utara, adalah destinasi wisata yang menawarkan pengalaman berlibur unik dengan kombinasi pantai dan berkemah. Terletak di kawasan dengan pemandangan alam yang memukau, tempat ini menawarkan pasir putih yang bersih dan air laut yang jernih, menciptakan suasana yang menenangkan. Pengunjung dapat menikmati berbagai aktivitas seperti berenang, berjemur, atau berkemah di dekat pantai, menikmati malam di bawah bintang-bintang dengan suara ombak sebagai latar belakang. Fasilitas camping yang tertata dengan baik memastikan kenyamanan pengunjung yang ingin merasakan liburan santai namun penuh petualangan di tengah keindahan alam.",Pangururan,0,0,0
Pantai Pasir Putih Purbaba,"https://www.google.com/maps/place/Pantai+Pasir+Putih+Parbaba/@2.6950959,98.6794137,15z/data=!3m1!4b1!4m6!3m5!1s0x3031c645a45d4f41:0x49aff691571c6464!8m2!3d2.695096!4d98.6897135!16s%2Fg%2F11b6zxmg8l?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",https://drive.google.com/drive/folders/10-PdUbcPrksmSlPBfOVoqWTywLgsRuVJ?usp=drive_link,4.2,2918,"Parbaba Dolok, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara",Open 08.00-17.00,2.6959533071956425,98.6894560079429,Bahari,"Aktivitas Air, Berenang, Perahu, Banana Boat, Olahraga","Pantai Pasir Putih Parbaba adalah destinasi wisata unik di tepi Danau Toba, Samosir, yang menawarkan hamparan pasir putih alami dengan latar belakang bukit hijau, menjadikannya tempat yang ideal untuk bersantai maupun beraktivitas seru bersama keluarga. Berlokasi tidak jauh dari Tomok, pantai ini mudah diakses dan menawarkan berbagai wahana air seperti banana boat, kano, sepeda air, dan speed boat, serta aktivitas santai seperti berenang, bermain pasir, voli pantai, atau sekadar menikmati pemandangan danau. Fasilitasnya cukup lengkap, termasuk kamar mandi, ruang ganti, tempat makan, toko cenderamata, serta penginapan terjangkau di sekitarnya.",Pangururan,5000,0,5000
Perkemahan Paropo,https://www.google.com/maps/place/Perkemahan+Paropo/data=!4m7!3m6!1s0x3031b3755f6acba9:0x9c1bb632e36473ef!8m2!3d2.8441892!4d98.5295004!16s%2Fg%2F11f40ylkbw!19sChIJqctqX3WzMTAR73Nk4zK2G5w?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1IO8RE8vm-nDUNOZloeP0f4L0Fi7UeHi7?usp=drive_link,4.6,204,"Paropo I, Kec. Silahsabungan, Kabupaten Dairi, Sumatera Utara",Open 24 hours,2.8444356592266797,98.52956477301427,Alam,"Pemandangan, Fotografi, Camping, Memancing, Aktivitas Air","Perkemahan Paropo terletak di Desa Paropo, Kecamatan Silahisabungan, Kabupaten Dairi, Sumatera Utara, adalah destinasi wisata alam yang terletak di tepi timur Danau Toba, menawarkan panorama indah dan udara sejuk di ketinggian 1.000 mdpl. Desa ini populer sebagai tempat camping favorit, terutama saat akhir pekan, karena suasana damainya, pemandangan danau yang jernih dikelilingi bukit hijau, dan momen matahari terbit yang menawan. Selain berkemah, pengunjung juga bisa menikmati aktivitas seperti memancing, berenang, bermain air, atau sekadar bersantai sambil menikmati alam. Fasilitas yang tersedia mencakup area berkemah lengkap, penyewaan perlengkapan camping, dan akses menuju Pulau Paropo serta wisata budaya seperti Tugu Silahisabungan yang menggelar pesta adat tahunan. Dengan keindahannya yang memesona, Paropo menjadi tempat ideal untuk menyegarkan pikiran dari hiruk pikuk kota.",Silahisabungan,15000,5000,10000
Pinus Hills Simarjarunjung,https://www.google.com/maps/place/Pinus+Hills+Simarjarunjung/data=!4m7!3m6!1s0x3031bfeba9ee1ef9:0x5cdfd4f32b372494!8m2!3d2.8170001!4d98.7827456!16s%2Fg%2F11lkflf_g_!19sChIJ-R7uqeu_MTARlCQ3K_PU31w?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1T9jmeNyPF1WmcN6BVmmN9Ha1bCYq6jlW?usp=drive_link,4.2,27,"Jl. Simarjarunjung, Parik Sabungan, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21163",Open 24 hours,2.8171394063162043,98.78269195582143,Alam,"Pemandangan, Hiburan, Fotografi","Pinus Hills Simarjarunjung adalah destinasi wisata alam yang menawarkan hutan pinus yang asri dengan pemandangan perbukitan indah dan udara sejuk, menjadikannya tempat ideal untuk menikmati suasana alam yang tenang. Dari ketinggian bukit ini, pengunjung dapat menikmati panorama spektakuler Danau Toba dan lanskap perbukitan sekitarnya, sementara di beberapa titik telah dibangun rumah pohon (tree house) sederhana yang memberikan kesempatan sempurna untuk berswafoto dengan latar alam yang memukau.",Dolok Pardamean,0,15000,40000
Spot foto silalahi,https://www.google.com/maps/place/Spot+foto+silalahi/data=!4m7!3m6!1s0x3031b55c72505701:0x5e5f714df6a15b00!8m2!3d2.755638!4d98.5689484!16s%2Fg%2F11s7wbs3yw!19sChIJAVdQcly1MTARAFuh9k1xX14?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1o_lK3pbAGyxKeM4kXVXSdVwl6OjJWOGa?usp=drive_link,4.5,75,"Silalahi II, Kec. Silahsabungan, Kabupaten Dairi, Sumatera Utara",Open 24 hours,2.75585232857419,98.5688625693143,Alam,"Pemandangan, Hiburan, Trekking, Fotografi","Pada kawasan Silalahi, terdapat beberapa lokasi “anti-mainstream” dengan pemandangan Danau Toba dan perbukitan Barisan yang sangat instagramable. Spot‑spot ini mudah dijangkau oleh wisatawan dan umumnya masih tergolong sepi, sehingga cocok bagi yang ingin berfoto dengan latar alam yang menenangkan",Silahisabungan,0,0,0
Pelabuhan Ajibata,"https://www.google.com/maps/place/Pelabuhan+Ajibata/@2.6553579,98.9340245,3a,75y,90t/data=!3m8!1e2!3m6!1sCIHM0ogKEICAgIC6o-vpWg!2e10!3e12!6shttps:%2F%2Flh3.googleusercontent.com%2Fgps-cs-s%2FAC9h4noaeSLY6W0fF4eXlTKRiglS655cKq2LE5C3ATEt3PXvwYpOY7BuZUL8ExdSUpGa-pv7OKkrkM8SunV_C1VAh1znsgmmlzd99GhpIp6Ti3fu9DwyJXGNbMvH7f8UChbIXIPLKwM%3Dw86-h114-k-no!7i3024!8i4032!4m11!1m2!2m1!1spelabuhan+ajibata!3m7!1s0x3031ef99777d1195:0x94b49e482663d92d!8m2!3d2.6594408!4d98.9346176!10e5!15sChFwZWxhYnVoYW4gYWppYmF0YZIBDnBvcnRfYXV0aG9yaXR5qgE6EAEyHxABIhsCFdnoYnO0Vg1u2mQ_6gccZYPAgLc63VWhswcyFRACIhFwZWxhYnVoYW4gYWppYmF0YeABAA!16s%2Fg%2F11fqjf3g9g?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D",https://drive.google.com/drive/folders/1s8HVj2fRYB-OjgalnjHezoIdsgoAyoi8,4.4,618,"Jl. Justin Sirait, Pardamean Ajibata, Kec. Ajibata, Kabupaten Simalungun, Sumatera Utara 21174",Open 08.00-21.00,2.659437860588545,98.93461842791324,Bahari,"Transportasi, Pemandangan","Pelabuhan Ajibata, salah satu pelabuhan di tepi Danau Toba, menjadi titik penyeberangan menggunakan kapal ferry dan wisata menuju lokasi seperti Parapat atau Ambarita",Ajibata,0,0,0
Pantai Pasir putih sigurgur,https://www.google.com/maps/place/Pantai+Pasir+putih+sigurgur/data=!4m7!3m6!1s0x3031b9c2b3a50245:0xec8b38bc49dd494d!8m2!3d2.7491743!4d98.71396!16s%2Fg%2F11p0__v39v!19sChIJRQKls8K5MTARTUndSbw4i-w?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1ujtyrXqscxbGnrxUIO-J-jFT1T1xPDPH?usp=drive_link,3.9,9,"Simarmata, Simanindo, Kabupaten Samosir, Sumatera Utara",Open 09.00-22.00,2.749099284581371,98.71412830859849,Bahari,"Piknik, Hiburan, Olahraga, Pemandangan, Fotografi","Pantai Pasir Putih Sigurgur menawarkan hamparan pasir putih eksotis dengan pemandangan indah Danau Toba. Destinasi ini ideal untuk menikmati sunset, bersantai di gazebo Sigurgur Restaurant sambil mencicipi kuliner khas Batak, serta berfoto di berbagai spot menarik. Garis pantainya yang lembut cocok untuk bermain pasir dan berjemur, sementara ombak tenang memungkinkan wisatawan menikmati olahraga air ringan seperti banana boat dan perahu karet.",Simanindo,0,0,0
Desa Wisata Martoba,https://www.google.com/maps/place/Desa+Wisata+Martoba/data=!4m7!3m6!1s0x3031c1670511a7ab:0x1dcb6cad692ef370!8m2!3d2.6975449!4d98.8142774!16s%2Fg%2F11vwpmj4_5!19sChIJq6cRBWfBMTARcPMuaa1syx0?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/13b5rp5I6EBlQ3sDCRyK8SQaK-lQRXUz5,5,7,"Martoba, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",Open 24 hours,2.6974899756425326,98.81423046132619,Alam,"Camping, Pemandangan, Trekking","Desa Wisata Martoba adalah objek wisata berbasis desa yang menawarkan paket lengkap mulai dari wisata alam di bukit kecil dengan pemandangan 180° Danau Toba bagian timur, camping ground di puncak bukit untuk menikmati matahari terbit terbaik.",Simanindo,0,0,0
Tuk Tuk Tara Bunga Beach,https://www.google.com/maps/place/Tuk+Tuk+Tara+Bunga+Beach/data=!4m7!3m6!1s0x3031bf0026aba541:0x8d3889a298430a45!8m2!3d2.7621326!4d98.8267323!16s%2Fg%2F11yb0_t09b!19sChIJQaWrJgC_MTARRQpDmKKJOI0?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/127pwS6LQzL2pX88uQQN4ez2Vvax80qGR?usp=drive_link,5,5,"Pematang Tambun Raya, Kec. Pematang Sidamanik, Kabupaten Simalungun, Sumatera Utara",Open 24 hours,2.7621316813179515,98.8267315020334,Bahari,"Piknik, Pemandangan, Santai","Tuk Tuk Tara Bunga Beach adalah pantai tepi Danau Toba dengan hamparan pasir halus dan air jernih yang dikelilingi perbukitan hijau Tara Bunga, di tepi pantai berdiri warung-warung lokal yang menyajikan kuliner Batak, gazebo untuk bersantai, serta area parkir sederhana sehingga cocok untuk piknik dan bersantai sambil menikmati panorama matahari terbenam di Danau Toba.",Pematang Sidamanik,0,2000,5000
Pantai Tondongta,https://www.google.com/maps/place/Pantai+Tondongta/data=!4m7!3m6!1s0x3031c1004d0edd27:0x221df43480210b1c!8m2!3d2.6976654!4d98.816938!16s%2Fg%2F11vrgbxm2g!19sChIJJ90OTQDBMTARHAshgDT0HSI?authuser=0&hl=en&rclk=1,https://drive.google.com/drive/folders/1RhbZdIpwhB7SATiPdDpp_p520gwSmyZJ?usp=drive_link,4,1,"Martoba, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",Open 09.00-19.00,2.6976620716745012,98.8169296803004,Bahari,"Piknik, Olahraga, Pemandangan","Pantai Tondongta menawarkan hamparan pasir putih lembut dan permukaan air danau yang tenang untuk berenang dan memancing, serta dilengkapi gazebo dan warung lokal yang menyewakan kayak dan perlengkapan snorkeling bagi pengunjung yang ingin menjelajah perairan jernih Danau Toba. Di senja hari, panorama matahari terbenam di ufuk barat menjadi momen puncak untuk menikmati keindahan alam sekitar.",Simanindo,0,10000,20000
